name,gender
guddu,m
shree,f
parashram,m
phoolwati,f
partab,m
aabid,m
tanvir,m
jaimata,f
nazeer,m
rihana,f
uzma,f
kashis,f
sukka,m
sarojni,f
uday,m
jasmina,f
swetha,f
shahnawaj,m
sadiya,f
puspa,f
lasar,m
saksi,f
sawali,m
rajuddin,m
pooran,m
neelkant,m
punit,f
ganga,f
sharat,m
papiya,f
suminder,m
girdhari,m
nashrin,f
boduram,m
premchand,m
jay,m
gytri,f
chettan,m
tahir,m
sukumar,m
noorjaha,f
harbhajan,m
paro,f
abhijit,m
lala,m
bir,m
chander,f
harbanschauhan,m
ranju,f
jasmeet,f
mandeep,f
etahsaam,m
veeri,m
gafur,m
bidhya,f
krishna,m
yudhbir,m
shashikant,m
dhan,m
fasrun,f
lalutha,f
golu,m
prmod,m
shakuntala,f
keshri,m
chaya,f
bhatri,f
kushal,m
ekta,f
rimjhim,f
shakshi,f
warnakulasuriya,m
yesh,m
anjrej,m
rube,f
aijay,m
gopi,f
baban,m
ganpat,m
bhavishya,m
swami,m
gangaram,m
kallu,m
mnisha,f
abhishak,m
shishpal,m
nathulal,m
devasheeh,m
osier,m
mesak,m
khemraj,m
gona,f
dhapa,f
bhundki,f
lavpreet,f
nainshi,f
parvej,m
hasim,m
viram,m
meenakashi,f
rahmat,m
kusuma,f
tamana,f
tumpa,f
sishpal,m
mohseena,f
bhushan,m
nizam,m
hawa,f
rajia,f
shabanam,f
shubankar,m
hera,m
bahadur,m
tanuj,m
girish,m
halki,f
furkhan,m
mujahid,m
sankar,m
kavit,m
chandkor,f
rashida,f
sushree,f
sus,f
mitali,f
sardeep,m
nabal,m
juvel,m
jagan,f
sozi,f
darfasha,f
salma,f
sunder,f
manwi,f
musmi,f
lakshman,m
shreemati,f
paramdeep,f
sajni,f
momina,f
shaboob,m
tulki,f
rukmani,f
rubiya,f
srishty,f
riju,f
pankuj,m
suja,m
zakir,m
saziya,f
lokesh,f
visan,m
yashbir,m
wasim,m
shma,f
jeenat,f
one,m
madhusudan,m
mustki,f
robin,m
musibat,m
balbir,m
parsant,m
dhamender,m
parven,f
kamil,m
bajrang,m
pyari,f
mishrilaal,m
mehronisha,f
pharjana,f
krashana,f
nupur,f
sakuntala,f
ranikhan,f
anta,f
susanto,m
durgesh,m
tinku,m
lakhi,f
rehan,m
sandip,m
rama,f
vidhi,f
sanpat,m
koshal,f
bhanwar,f
gobind,m
shankarlal,m
samreen,f
iswer,m
riyajul,m
bholu,m
sahin,f
navjat,f
asana,f
tamnna,m
parsann,f
tofik,m
trlokchand,m
